MMOBILE/MMOBILE_INIT;Downloading config...
INACTIVE/DISABLED;App version inactive. Download last version
INACTIVE/NOT_SUPORTED;Device not supported
INACTIVE/VERSION;Version
NAV/RECOMMENDATIONS_TYPE;Kind of Recommendations
NAV/ADULTS_MANEUVER;Maneuver for adults/children
NAV/INFANTS_MANEUVER;Maneuver for suckling infants
NAV/PRECAUTIONARY_MEASURES;Precautionary measures
NAV/PRIVACY_CONDITIONS;Privacy and Conditions of Use
NAV/SETTINGS;Settings
CONTENTS_GENERIC/SHARE/TITLE;Share with...
CONTENTS_GENERIC/SHARE/TEXT;Descárgate #SOSrespira y aprende a salvar la vida de una persona atragantada http://ow.ly/4nm5Ts
CONTENTS_GENERIC/POPUP_CONFIRM_DOWNLOAD_LIST/TITLE;Download videos
CONTENTS_GENERIC/POPUP_CONFIRM_DOWNLOAD_LIST/MESSAGE;A series of videos are going to be downloaded to complete the course
CONTENTS_GENERIC/POPUP_CONFIRM_DOWNLOAD_LIST/CONFIRM;Yes
CONTENTS_GENERIC/POPUP_CONFIRM_DOWNLOAD_LIST/REJECT;No
CONTENTS_GENERIC/POPUP_DOWNLOAD_LIST_PROGRESS/PROGRESS_TOTAL;Total Progress:
CONTENTS_GENERIC/POPUP_DOWNLOAD_LIST_PROGRESS/PROGRESS_CURRENT;Current Progress:
CONTENTS_GENERIC/POPUP_DOWNLOAD_LIST_PROGRESS/OF;of
CONTENTS_GENERIC/POPUP_DOWNLOAD_LIST_PROGRESS/CANCEL;Cancel
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/TITLE;Kind of Recommendations
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/SHORT_TITLE;Recommendations
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/SELECT_AREA;Select the geographic area in which you are
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/EUROPE;Europe
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/RECOMMENDATIONS_EUROPE;ERC recommendations
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/REST_OF_WORLD;Rest of the world
CONTENTS_GENERIC/RECOMMENDATIONS_TYPE/RECOMMENDATIONS_REST_OF_WORLD;AHA recommendations
CONTENTS_GENERIC/MANEUVER_TYPE/TITLE;Kind of Maneuvers
CONTENTS_GENERIC/MANEUVER_TYPE/SHORT_TITLE;Maneuvers
CONTENTS_GENERIC/MANEUVER_TYPE/KIND_OF_MANEUVER;What kind of maneuvers do you want to access?
CONTENTS_GENERIC/MANEUVER_TYPE/ADULTS;Adults/children
CONTENTS_GENERIC/MANEUVER_TYPE/INFANTS;Suckling infants (under 1 year)
CONTENTS_GENERIC/MANEUVER_TYPE/ENDORSED_BY;Endorsed by:
CONTENTS_GENERIC/PRECAUTIONARY_MEASURES/TITLE;Precautionary measures
CONTENTS_GENERIC/PRECAUTIONARY_MEASURES/SHORT_TITLE;Precautions
